Data_Size,Model,Accuracy,Precision,Recall,F1
40%,Naive Bayes,0.8205741626794258,0.8702614351844135,0.8205741626794258,0.8195526616367536
40%,Decision Tree,0.8899521531100478,0.8952193126813011,0.8899521531100478,0.8903567804311613
40%,XGBoost,0.9210526315789473,0.9243965102113453,0.9210526315789473,0.9207792879164695
40%,Random Forest,0.930622009569378,0.9357863195781986,0.930622009569378,0.9308561562229403
40%,KNN,0.930622009569378,0.9382571194780015,0.930622009569378,0.9314140504650991
40%,Logistic Regression,0.9617224880382775,0.963243973963121,0.9617224880382775,0.9617307031065941
40%,SVM,0.9688995215311005,0.9692654548509072,0.9688995215311005,0.9688484443266681
40%,Naive Bayes,0.8068965517241379,0.8093575007368111,0.8068965517241379,0.8049247214276878
40%,Decision Tree,0.8758620689655172,0.8801973271737337,0.8758620689655172,0.8747939385116732
40%,XGBoost,0.9149425287356322,0.9148701287591767,0.9149425287356322,0.9144442258290029
40%,Random Forest,0.9080459770114943,0.908418896577772,0.9080459770114943,0.9080771578243689
40%,KNN,0.9264367816091954,0.928434214370482,0.9264367816091954,0.9262536958960325
40%,Logistic Regression,0.9770114942528736,0.9775517173083097,0.9770114942528736,0.976941406957322
40%,SVM,0.967816091954023,0.9680101975009754,0.967816091954023,0.9678266385771457
40%,Naive Bayes,0.8421052631578947,0.8779972231130722,0.8421052631578947,0.8309923086958108
40%,Decision Tree,0.9565217391304348,0.9576071736289562,0.9565217391304348,0.9567840472881148
40%,XGBoost,0.977116704805492,0.9788601391640376,0.977116704805492,0.9772608250424916
40%,Random Forest,0.9794050343249427,0.9804132852989793,0.9794050343249427,0.9792847985463988
40%,KNN,0.977116704805492,0.9784702125140422,0.977116704805492,0.9770813081165953
40%,Logistic Regression,0.9931350114416476,0.9931607230092818,0.9931350114416476,0.9931347054436508
40%,SVM,0.9954233409610984,0.9954490525287327,0.9954233409610984,0.9954232670844392
40%,Naive Bayes,0.7120535714285714,0.7446459430546412,0.7120535714285714,0.7094032372882929
40%,Decision Tree,0.8392857142857143,0.8407232943284734,0.8392857142857143,0.8384406823136619
40%,XGBoost,0.8973214285714286,0.8987028374937928,0.8973214285714286,0.896581842822684
40%,Random Forest,0.8950892857142857,0.8968572933308219,0.8950892857142857,0.8954007828419984
40%,KNN,0.9084821428571429,0.9150948884696275,0.9084821428571429,0.9091273482241906
40%,Logistic Regression,0.9486607142857143,0.9491833111099357,0.9486607142857143,0.9486716266893963
40%,SVM,0.9486607142857143,0.9495949505233803,0.9486607142857143,0.9483551323752446
40%,Naive Bayes,0.6715328467153284,0.7356315246833223,0.6715328467153284,0.6662511015082424
40%,Decision Tree,0.8467153284671532,0.858075869349153,0.8467153284671532,0.8452363525610691
40%,XGBoost,0.9391727493917275,0.9441669753635146,0.9391727493917275,0.938749363066944
