Split,Model,Accuracy,Precision,Recall,F1
50-50,Naive Bayes,0.7949107481959742,0.8327159829168876,0.7949107481959742,0.7930457061881018
50-50,Decision Tree,0.8849221420432967,0.8912412613110529,0.8849221420432967,0.8854675132257909
50-50,XGBoost,0.932016710976073,0.9321159900598663,0.932016710976073,0.9319936326248092
50-50,Random Forest,0.9396126091910368,0.9405827882572405,0.9396126091910368,0.9397295950705898
50-50,KNN,0.9361944549943031,0.9385801805877012,0.9361944549943031,0.9364535431242347
50-50,Logistic Regression,0.9715153816938853,0.9716349308100085,0.9715153816938853,0.971507573680896
50-50,SVM,0.9605013292821876,0.9607359074318377,0.9605013292821876,0.960493234909968
50-50,Naive Bayes,0.7659492697924674,0.7877505419180824,0.7659492697924674,0.7589384098098543
50-50,Decision Tree,0.893543428132206,0.8946003222711224,0.893543428132206,0.893521385773402
50-50,XGBoost,0.9269792467332821,0.92831217541385,0.9269792467332821,0.9270032585956008
50-50,Random Forest,0.9081475787855495,0.9102191908214625,0.9081475787855495,0.908286743193735
50-50,KNN,0.9435049961568025,0.9445572043381464,0.9435049961568025,0.9436522045883494
50-50,Logistic Regression,0.9700230591852421,0.9707376107257215,0.9700230591852421,0.9700697234601858
50-50,SVM,0.958109146810146,0.9589685639253295,0.958109146810146,0.9581019256405582
50-50,Naive Bayes,0.7949405902644692,0.8311026259534335,0.7949405902644692,0.7867720423839957
50-50,Decision Tree,0.8773476427750095,0.8787328102139975,0.8773476427750095,0.8775338509304567
50-50,XGBoost,0.9394403986201609,0.9409122849977771,0.9394403986201609,0.9394289751681041
50-50,Random Forest,0.9547719432732847,0.9554506603004913,0.9547719432732847,0.9547758995368283
50-50,KNN,0.9563050977385972,0.9587390305726468,0.9563050977385972,0.9566292533780659
50-50,Logistic Regression,0.9789191261019548,0.9791030748847804,0.9789191261019548,0.978916442679581
50-50,SVM,0.9708700651590648,0.971401898403,0.9708700651590648,0.9709112451944627
50-50,Naive Bayes,0.7768500948766603,0.8112653405903438,0.7768500948766603,0.7726597375048978
50-50,Decision Tree,0.9020872865275142,0.9099741858843521,0.9020872865275142,0.9017491597189145
50-50,XGBoost,0.9343453510436432,0.9370824058965248,0.9343453510436432,0.9342901082652764
50-50,Random Forest,0.9244781783681214,0.9262284076900855,0.9244781783681214,0.9242607618086846
50-50,KNN,0.9180265654648956,0.9199744724378544,0.9180265654648956,0.9182962765864138
50-50,Logistic Regression,0.9582542694497154,0.9581716117898884,0.9582542694497154,0.9581023039720843
50-50,SVM,0.966223908918406,0.9668836376594729,0.966223908918406,0.9661769427085072
50-50,Naive Bayes,0.7960275019098548,0.8319816860892725,0.7960275019098548,0.7970323882275251
50-50,Decision Tree,0.8999236058059588,0.9001670255885579,0.8999236058059588,0.8992802168239517
50-50,XGBoost,0.9281894576012223,0.9283964904740347,0.9281894576012223,0.9280147883908669
50-50,Random Forest,0.9404125286478228,0.9404299477805774,0.9404125286478228,0.940317043028152
50-50,KNN,0.9446142093200917,0.9453507809744055,0.9446142093200917,0.9445400131384591
50-50,Logistic Regression,0.9774637127578304,0.9778248500089544,0.9774637127578304,0.9774755028611339
50-50,SVM,0.9591291061879297,0.9600115125751183,0.9591291061879297,0.9590329402842601
60-40,Naive Bayes,0.7922201138519924,0.8324917292038277,0.7922201138519924,0.7902131091705623
60-40,Decision Tree,0.8946869070208728,0.8987828327340122,0.8946869070208728,0.8948765382278407
60-40,XGBoost,0.937381404174573,0.9377672029834477,0.937381404174573,0.9372523331255339
60-40,Random Forest,0.9340607210626186,0.9362804920832801,0.9340607210626186,0.9342485029565751
60-40,KNN,0.9411764705882353,0.9434605476653828,0.9411764705882353,0.9413625463619995
60-40,Logistic Regression,0.9644212523719166,0.964605626193909,0.9644212523719166,0.9644077630224309
60-40,SVM,0.9587286527514232,0.9593126178762871,0.9587286527514232,0.9587042302589093
60-40,Naive Bayes,0.7402784445511282,0.7683476661859201,0.7402784445511282,0.734816656845571
60-40,Decision Tree,0.8449351896303409,0.8514752440912322,0.8449351896303409,0.8445826033067119
60-40,XGBoost,0.9063850216034566,0.9073759981781797,0.9063850216034566,0.9063578153467864
60-40,Random Forest,0.8953432549207874,0.8988100556503333,0.8953432549207874,0.8956921124245438
60-40,KNN,0.9270283245319251,0.9288567886008271,0.9270283245319251,0.9273284623086208
60-40,Logistic Regression,0.9639942390782525,0.9647986308339462,0.9639942390782525,0.9640554205872288
60-40,SVM,0.9462313970235238,0.9476728459097138,0.9462313970235238,0.9461737439106415
60-40,Naive Bayes,0.7871028923660502,0.8172998547570571,0.7871028923660502,0.7762043331115426
60-40,Decision Tree,0.8909435751541015,0.8951776680743259,0.8909435751541015,0.8916206861123934
60-40,XGBoost,0.9355144618302513,0.9364126914445843,0.9355144618302513,0.9353349065080988
60-40,Random Forest,0.9407302038880986,0.9428723310469193,0.9407302038880986,0.9406839286705405
60-40,KNN,0.9521100047415837,0.95565322131462,0.9521100047415837,0.9525585606912
60-40,Logistic Regression,0.9762920815552395,0.9766157336476163,0.9762920815552395,0.9763043371303172
60-40,SVM,0.9781887150308203,0.9783285563576243,0.9781887150308203,0.9781857218924573
60-40,Naive Bayes,0.7766761095372994,0.8115789258363192,0.7766761095372994,0.7742278304674024
60-40,Decision Tree,0.8819641170915958,0.8837513670680791,0.8819641170915958,0.8821774237461142
60-40,XGBoost,0.9239848914069877,0.9267645327125822,0.9239848914069877,0.9239098457423746
60-40,Random Forest,0.9159584513692163,0.918637757320073,0.9159584513692163,0.9159118605970077
60-40,KNN,0.9216241737488197,0.9259315070357387,0.9216241737488197,0.9219195558755742
60-40,Logistic Regression,0.95561850802644,0.9555381155697333,0.95561850802644,0.9555379739841419
60-40,SVM,0.9641170915958451,0.9645747581638332,0.9641170915958451,0.9639667044013549
60-40,Naive Bayes,0.8249158249158249,0.8508763665515023,0.8249158249158249,0.8268565510748556
60-40,Decision Tree,0.8816738816738817,0.8826653696108357,0.8816738816738817,0.8813789960519774
60-40,XGBoost,0.9417989417989417,0.9428549077377087,0.9417989417989417,0.9417186008449479
60-40,Random Forest,0.9345839345839346,0.9347286917157344,0.9345839345839346,0.934216866936678
60-40,KNN,0.9485329485329486,0.949611941024947,0.9485329485329486,0.9485950458347239
60-40,Logistic Regression,0.9793169793169794,0.9795048494638835,0.9793169793169794,0.9793371284468617
60-40,SVM,0.9658489658489658,0.9663855329757102,0.9658489658489658,0.9657489999068066
70-30,Naive Bayes,0.7947761194029851,0.8357676657794907,0.7947761194029851,0.7945063171961639
70-30,Decision Tree,0.8793532338308457,0.881907006465295,0.8793532338308457,0.8795349033548858
70-30,XGBoost,0.9073383084577115,0.9092831453640939,0.9073383084577115,0.9076194474269943
70-30,Random Forest,0.931592039800995,0.9341003793834485,0.931592039800995,0.9318573565376874
70-30,KNN,0.9421641791044776,0.9446296684866298,0.9421641791044776,0.9423156358602911
70-30,Logistic Regression,0.9533582089552238,0.9537319377268318,0.9533582089552238,0.9533421764287084
70-30,SVM,0.9552238805970149,0.9562974740464218,0.9552238805970149,0.9552434800060838
70-30,Naive Bayes,0.7908163265306123,0.7982927600808231,0.7908163265306123,0.7858605421668121
70-30,Decision Tree,0.9017857142857143,0.9058950817283338,0.9017857142857143,0.9017748370277663
70-30,XGBoost,0.920280612244898,0.9209835659753214,0.920280612244898,0.9204331283066925
70-30,Random Forest,0.9139030612244898,0.9168271139730891,0.9139030612244898,0.9143488045293885
70-30,KNN,0.9457908163265306,0.9464236218231211,0.9457908163265306,0.9457678749074562
70-30,Logistic Regression,0.9630102040816326,0.9641736813776484,0.9630102040816326,0.9630268367546652
70-30,SVM,0.9579081632653061,0.9594196637999117,0.9579081632653061,0.9579681958041918
70-30,Naive Bayes,0.8066795118818241,0.8519094980244529,0.8066795118818241,0.7951813556488034
70-30,Decision Tree,0.8831085420680796,0.8862169710929361,0.8831085420680796,0.8836474785646812
70-30,XGBoost,0.9409120102761721,0.9416361112526364,0.9409120102761721,0.9407944481381859
70-30,Random Forest,0.9460500963391136,0.9478157296991409,0.9460500963391136,0.9461713191642706
70-30,KNN,0.9678869621066153,0.9684067165146014,0.9678869621066153,0.9679179803767317
70-30,Logistic Regression,0.9820166987797045,0.9825269503894356,0.9820166987797045,0.9820229154371782
70-30,SVM,0.9820166987797045,0.9824454398917333,0.9820166987797045,0.982027389430071
70-30,Naive Bayes,0.729426433915212,0.7761801701638558,0.729426433915212,0.7243993323509557
70-30,Decision Tree,0.844139650872818,0.8520052928432098,0.844139650872818,0.8449240904181057
70-30,XGBoost,0.9251870324189526,0.9265460668125927,0.9251870324189526,0.9252853913898937
70-30,Random Forest,0.9133416458852868,0.9173091917164702,0.9133416458852868,0.9139237927736862
70-30,KNN,0.9201995012468828,0.9240990186877533,0.9201995012468828,0.92052026359115
70-30,Logistic Regression,0.9613466334164589,0.9625554368437118,0.9613466334164589,0.9612838898020383
70-30,SVM,0.9675810473815462,0.9682651359189327,0.9675810473815462,0.967550825376849
70-30,Naive Bayes,0.7571428571428571,0.7890736690386615,0.7571428571428571,0.7548052222881517
70-30,Decision Tree,0.8798701298701299,0.8819050397524102,0.8798701298701299,0.8789139137720756
70-30,XGBoost,0.9461038961038961,0.946809321948092,0.9461038961038961,0.9460369079661548
70-30,Random Forest,0.9525974025974026,0.9528121078988585,0.9525974025974026,0.9521648087471242
