Data_Size,Model,Accuracy,Precision,Recall,F1
40%,Naive Bayes,0.3031026252983294,0.37359248903338854,0.3031026252983294,0.30078669359224564
40%,Decision Tree,0.6801909307875895,0.7509508656286702,0.6801909307875895,0.6807230756514767
40%,XGBoost,0.8544152744630071,0.8834592946168125,0.8544152744630071,0.8546209624371915
40%,Random Forest,0.9474940334128878,0.9603960677349698,0.9474940334128878,0.948781769496356
40%,KNN,0.6420047732696897,0.7442583868001529,0.6420047732696897,0.643761607540914
40%,Logistic Regression,0.8281622911694511,0.8751894154638785,0.8281622911694511,0.8319730953838773
40%,SVM,0.8878281622911695,0.9141919536310945,0.8878281622911695,0.8899308395131784
40%,Naive Bayes,0.26730310262529833,0.3416439036964096,0.26730310262529833,0.25905749123402894
40%,Decision Tree,0.6945107398568019,0.7796959537412999,0.6945107398568019,0.7048007819895775
40%,XGBoost,0.8448687350835322,0.8946187066712126,0.8448687350835322,0.8496478196955525
40%,Random Forest,0.954653937947494,0.9720081827480396,0.954653937947494,0.9552837576107266
40%,KNN,0.5727923627684964,0.7209711330833048,0.5727923627684964,0.5715234513563869
40%,Logistic Regression,0.7732696897374701,0.8331628594158427,0.7732696897374701,0.7707082694552863
40%,SVM,0.8854415274463007,0.9156836004091374,0.8854415274463007,0.8877388795084991
40%,Naive Bayes,0.2577565632458234,0.3601182296886353,0.2577565632458234,0.27224784746194264
40%,Decision Tree,0.6945107398568019,0.7439443809968868,0.6945107398568019,0.6899619076230055
40%,XGBoost,0.8448687350835322,0.8744643847269145,0.8448687350835322,0.8412695303822637
40%,Random Forest,0.9474940334128878,0.9592879872712808,0.9474940334128878,0.9451567448866783
40%,KNN,0.6634844868735084,0.7523233528603458,0.6634844868735084,0.6660119802826525
40%,Logistic Regression,0.7899761336515513,0.844175474485737,0.7899761336515513,0.787085216560157
40%,SVM,0.8854415274463007,0.9196007122021441,0.8854415274463007,0.8871718178400756
60%,Naive Bayes,0.2551834130781499,0.3429724120499483,0.2551834130781499,0.2591091608346345
60%,Decision Tree,0.7974481658692185,0.8162686905509873,0.7974481658692185,0.792862998792078
60%,XGBoost,0.9282296650717703,0.9431022636764264,0.9282296650717703,0.9286606890930147
60%,Random Forest,0.9696969696969697,0.9744676199221655,0.9696969696969697,0.9694793396865838
60%,KNN,0.8915470494417863,0.9134210066028249,0.8915470494417863,0.8901494364720399
60%,Logistic Regression,0.8676236044657097,0.8946743005355445,0.8676236044657097,0.8693944050567132
60%,SVM,0.9393939393939394,0.9492294211193734,0.9393939393939394,0.9389007276193854
60%,Naive Bayes,0.29984051036682613,0.38843118512078767,0.29984051036682613,0.296122745268286
60%,Decision Tree,0.8070175438596491,0.83471023040401,0.8070175438596491,0.8056749184324522
60%,XGBoost,0.9186602870813397,0.9320839403375288,0.9186602870813397,0.9177594660507544
60%,Random Forest,0.9728867623604466,0.9773860642281694,0.9728867623604466,0.9730533307905961
60%,KNN,0.8835725677830941,0.9084087319733254,0.8835725677830941,0.8814205290731234
60%,Logistic Regression,0.8580542264752791,0.8909398151024945,0.8580542264752791,0.853918022343857
60%,SVM,0.937799043062201,0.9530878965089491,0.937799043062201,0.9380549811171016
60%,Naive Bayes,0.2759170653907496,0.3796682500344343,0.2759170653907496,0.26868926280587785
60%,Decision Tree,0.8022328548644339,0.8182271609305103,0.8022328548644339,0.7988305496271337
