Split,Model,Accuracy,Precision,Recall,F1
50-50,Naive Bayes,0.28664370455415233,0.3761951975116796,0.28664370455415233,0.28745030917789116
50-50,Decision Tree,0.803291236127057,0.8117694456196329,0.803291236127057,0.8013709099504449
50-50,XGBoost,0.9119785686949866,0.918484963641935,0.9119785686949866,0.9122972130077679
50-50,Random Forest,0.9728281668580177,0.9744151694138732,0.9728281668580177,0.972646058300534
50-50,KNN,0.8832759280520475,0.8990407403844053,0.8832759280520475,0.8814520474843768
50-50,Logistic Regression,0.8228090317642557,0.8428507334765978,0.8228090317642557,0.8203838226919773
50-50,SVM,0.9261385380788366,0.9307730334909262,0.9261385380788366,0.9252889315616132
50-50,Naive Bayes,0.2743972445464983,0.38771016309958356,0.2743972445464983,0.2800274194898513
50-50,Decision Tree,0.7791810179869881,0.7904821702692109,0.7791810179869881,0.7779368928106567
50-50,XGBoost,0.9284347493302717,0.9318726434559006,0.9284347493302717,0.9281911248097895
50-50,Random Forest,0.9743589743589743,0.9761458997074689,0.9743589743589743,0.974127927958235
50-50,KNN,0.8970531955606582,0.9110895669748327,0.8970531955606582,0.8927102778543262
50-50,Logistic Regression,0.8748564867967853,0.8854455138923014,0.8748564867967853,0.8742360957399435
50-50,SVM,0.9399158055874474,0.9446442276084431,0.9399158055874474,0.939004255038021
50-50,Naive Bayes,0.2965939533103712,0.4076157355345186,0.2965939533103712,0.29761989297470537
50-50,Decision Tree,0.7941063911213165,0.8067031273344579,0.7941063911213165,0.7933602270155486
50-50,XGBoost,0.9203980099502488,0.9266782664163743,0.9203980099502488,0.9196588347777874
50-50,Random Forest,0.9720627631075393,0.9747504721282814,0.9720627631075393,0.9718364708028511
50-50,KNN,0.8882510524301569,0.9042218894788729,0.8882510524301569,0.886027365448014
50-50,Logistic Regression,0.8664370455415231,0.879554761271349,0.8664370455415231,0.8651602384278092
50-50,SVM,0.9383849980864907,0.945527197890495,0.9383849980864907,0.9376238571442708
60-40,Naive Bayes,0.28742228598756575,0.395022626592699,0.28742228598756575,0.2879935455603024
60-40,Decision Tree,0.8192252510760402,0.8300048286935948,0.8192252510760402,0.8178911673787622
