Data_Size,Model,Fold,Accuracy,Precision,Recall,F1
20,Naive Bayes,1,0.9665,0.9778,0.9665,0.9659
20,Decision Tree,1,0.9378,0.9388,0.9378,0.933
20,XGBoost,1,0.9474,0.9509,0.9474,0.943
20,Random Forest,1,0.9856,0.9906,0.9856,0.9854
20,KNN,1,0.9856,0.9846,0.9856,0.9834
20,Logistic Regression,1,0.9856,0.9866,0.9856,0.9838
20,SVM,1,0.9809,0.9864,0.9809,0.9798
40,Naive Bayes,1,0.9511,0.9796,0.9511,0.9578
40,Decision Tree,1,0.8949,0.9103,0.8949,0.8893
40,XGBoost,1,0.9413,0.952,0.9413,0.939
40,Random Forest,1,0.9829,0.9897,0.9829,0.9838
40,KNN,1,0.9829,0.9885,0.9829,0.9828
40,Logistic Regression,1,0.9804,0.9871,0.9804,0.979
40,SVM,1,0.9829,0.9872,0.9829,0.9817
60,Naive Bayes,1,0.9663,0.9857,0.9663,0.9699
60,Decision Tree,1,0.8814,0.9153,0.8814,0.8808
60,XGBoost,1,0.9519,0.9598,0.9519,0.9493
60,Random Forest,1,0.992,0.9927,0.992,0.991
60,KNN,1,0.9808,0.9801,0.9808,0.9776
60,Logistic Regression,1,0.9904,0.9919,0.9904,0.9895
60,SVM,1,0.9888,0.9926,0.9888,0.9888
80,Naive Bayes,1,0.9538,0.9853,0.9538,0.9634
80,Decision Tree,1,0.8724,0.9136,0.8724,0.8753
80,XGBoost,1,0.9478,0.9629,0.9478,0.9474
80,Random Forest,1,0.9818,0.9903,0.9818,0.9833
80,KNN,1,0.9696,0.9797,0.9696,0.9705
80,Logistic Regression,1,0.9781,0.9876,0.9781,0.9791
80,SVM,1,0.9757,0.9864,0.9757,0.9775
