Split,Model,Fold,Accuracy,Precision,Recall,F1
50-50,Naive Bayes,1,0.9127,0.9779,0.9127,0.9318
50-50,Decision Tree,1,0.8377,0.862,0.8377,0.8315
50-50,XGBoost,1,0.9154,0.9278,0.9154,0.9125
50-50,Random Forest,1,0.9793,0.9828,0.9793,0.9786
50-50,KNN,1,0.9556,0.9628,0.9556,0.952
50-50,Logistic Regression,1,0.9793,0.9829,0.9793,0.9788
50-50,SVM,1,0.9778,0.9809,0.9778,0.9769
60-40,Naive Bayes,1,0.9335,0.9764,0.9335,0.9444
60-40,Decision Tree,1,0.8541,0.8669,0.8541,0.8461
60-40,XGBoost,1,0.9388,0.9492,0.9388,0.9356
60-40,Random Forest,1,0.9871,0.9897,0.9871,0.9865
60-40,KNN,1,0.967,0.9716,0.967,0.964
60-40,Logistic Regression,1,0.9799,0.984,0.9799,0.9793
60-40,SVM,1,0.9837,0.9867,0.9837,0.9827
70-30,Naive Bayes,1,0.9541,0.9794,0.9541,0.9591
70-30,Decision Tree,1,0.8769,0.8912,0.8769,0.868
70-30,XGBoost,1,0.9496,0.9586,0.9496,0.9471
70-30,Random Forest,1,0.9872,0.9903,0.9872,0.9868
70-30,KNN,1,0.9707,0.9755,0.9707,0.9682
70-30,Logistic Regression,1,0.9821,0.9864,0.9821,0.9815
70-30,SVM,1,0.9841,0.9856,0.9841,0.9826
80-20,Naive Bayes,1,0.9579,0.9738,0.9579,0.9586
80-20,Decision Tree,1,0.8805,0.8938,0.8805,0.8698
80-20,XGBoost,1,0.956,0.9635,0.956,0.9525
80-20,Random Forest,1,0.9885,0.9924,0.9885,0.9879
80-20,KNN,1,0.978,0.9839,0.978,0.9764
80-20,Logistic Regression,1,0.9809,0.9832,0.9809,0.9788
80-20,SVM,1,0.9847,0.9874,0.9847,0.9831
